id,organization,name,url,opens,deadline,amount,other_benefits,eligibility,area,flags,notes,last_verified
anthropic-fellows,Anthropic,Anthropic Fellows Program,https://boards.greenhouse.io/anthropic,Rolling,Rolling,"~$65,000 per 4-month term + ~$15,000/month compute credits",Remote-friendly; compute access,"US, UK, or Canada work authorization required",AI and Tech Policy,,Cohort-based research fellowship; check Anthropic careers page for current openings,2026-07-01
aspen-policy-academy,Aspen Institute,Aspen Policy Academy Fellowship,https://aspenpolicyacademy.org,Dec,"Feb 5, 2027","$5,000 stipend + optional $2,500 project fund",Policy leadership network access,US-based; graduate students and early-career professionals,Public Policy and Government,,Dates projected from prior cycle; verify current cycle on website,2026-07-01
base-fellows,BASE Research,BASE Fellows Program,https://baseresearch.org/base-fellowship,Fall,"~Jan 9, 2027",Stipend; verify amount on website,12-week remote cohort; mentorship; network,Black researchers; US-eligible; all fields,Open Field,Black researchers focus,Dates projected from prior cycle; verify current cycle on website,2026-07-01
belfer-isp-predoc,Harvard Belfer Center,International Security Program Pre-Doctoral Fellowship,https://www.belfercenter.org/fellowship/international-security-program-fellowship,"Oct 1, 2026","Dec 1, 2026","$46,000/year + health insurance",Office space; Harvard affiliation; mentorship,All nationalities; in-residence Cambridge MA,Public Policy and Government,,In-residence at Harvard Kennedy School,2026-07-01
belfer-tech-geopolitics,Harvard Belfer Center,Technology and Geopolitics Fellowship,https://www.belfercenter.org/fellowship/technology-and-geopolitics,"Oct 1, 2026","Dec 1, 2026",Stipend varies; verify on website,Harvard affiliation; policy network,US-eligible; all nationalities considered,AI and Tech Policy,,Tech and geopolitics research focus; verify current cycle,2026-07-01
berkman-klein,"Berkman Klein Center, Harvard",Berkman Klein Fellowship,https://cyber.harvard.edu,~Oct,"~Feb, 2027","Up to $75,000/year ($6,250/month) + office space",Harvard affiliation; internet and society research network,US-eligible; all backgrounds; Sept 2027-Aug 2028 term,AI and Tech Policy,,"Internet, law, and society research focus; verify current cycle",2026-07-01
cais-fellowship,Center for AI Safety,CAIS AI and Society Fellowship,https://www.safe.ai/fellowship,~Jan,"~Mar, 2027",Fully funded; verify amount on website,San Francisco-based; research cohort,US-based; graduate students and researchers,AI and Tech Policy,,AI safety and society research focus,2026-07-01
govai-dc-summer,Centre for the Governance of AI,GovAI DC Summer Fellowship,https://www.governance.ai/opportunities,~Winter,"~Mar, 2027","~$21,000 for summer term",Washington DC placement; policy network,US-eligible; graduate students,AI and Tech Policy,,AI governance focus; DC-based summer program,2026-07-01
coding-it-forward,Coding it Forward,Civic Digital Fellowship,https://www.codingitforward.com/fellowship,~Nov,"~Jan, 2027","$20-$25/hour, 10-week summer term",Federal agency placement; civic tech network,"US citizens, nationals, or permanent residents currently in the US; undergrad and grad eligible",Public Policy and Government,,Civic technology and government; open to undergrads and graduate students,2026-07-01
cip-research,Center for Information Policy Research (CIP),CIP Research Fellowship,https://www.cip.org/research-fellowship,~Mar,"~May 15, 2027","$9,000 + dataset access",Remote; dataset and research infrastructure access,Global including US; graduate students,AI and Tech Policy,,Information policy and privacy research focus,2026-07-01
horizon-public-service,Horizon Public Service,Horizon Public Service Fellowship,https://www.horizonpublicservice.org/programs/become-a-fellow/,~Jun,"~Sep 2, 2026","$113,000 (Fellows) or $75,000 (Junior Fellows) + $15,000 health + $3,000 prof dev + $3,000 relocation",Full-time DC placement; leadership development,Recent master's or doctoral graduates; green card holders eligible; full-time DC,Public Policy and Government,,Full-time post-graduate public service fellowship; not for current students,2026-07-01
new-america-national-fellows,New America,National Fellows Program,https://www.newamerica.org/fellows/about/how-to-apply/,~Nov,"Feb 2, 2027","$15,000 to $30,000",Washington DC affiliation; publication support; policy network,US-based; welcomes international applicants; researchers and practitioners,Public Policy and Government,,Public policy research and writing fellowship,2026-07-01
otf-icfp,Open Technology Fund,Information Controls Fellowship Program (ICFP),https://www.opentech.fund/fellowships/icfp,~Dec,"~Feb-Mar, 2027","$7,000/month + $1,250-$5,000 travel and equipment",Remote; international internet freedom research network,All nationalities except OFAC-sanctioned countries; US-eligible,AI and Tech Policy,,Internet freedom and censorship circumvention research focus,2026-07-01
mozilla-fellowship,Mozilla Foundation,Mozilla Fellowship,https://foundation.mozilla.org/en/what-we-do/grantmaking/fellowship/,~Nov,"~Jan 30, 2027","Embedded: $100,000 total ($75,000 stipend + $25,000 project); Independent: $125,000 total ($100,000 + $25,000)",Global internet health network; no relocation required,US-eligible and select other countries; self-nomination accepted,AI and Tech Policy,Self-nomination (not closed invitation); verify eligible countries on website,"Internet health, privacy, and open web research focus",2026-07-01
princeton-citp,Princeton Center for Information Technology Policy,CITP Fellows Program,https://citp.princeton.edu/programs/fellows-program,~Oct,"~Dec 8, 2026",Fully funded; varies by track,Princeton NJ in-person; tech policy research community,US-eligible; graduate students and researchers; in-residence Princeton NJ,AI and Tech Policy,,Technology and information policy research focus; verify current cycle,2026-07-01
tech-policy-press,Tech Policy Press,Tech Policy Press Fellowship,https://techpolicy.press/fellowships/,~Aug,"~Oct 15, 2026","$10,000",Remote; publication platform; editorial mentorship,"Remote; global including US; researchers, journalists, and policy professionals",AI and Tech Policy,,Technology policy writing and research fellowship,2026-07-01
penn-csis-doctoral,Penn Center for Social Impact Strategy / Gradel,Oxford-Penn Social Impact Doctoral Fellows,https://csis.upenn.edu/residential-program/doctoral-fellows/,Verify on website,Verify on website,"GBP 3,000 + housing at UPenn (US-based residential program)",Residential program at University of Pennsylvania,Current PhD candidates; US-based program,Public Policy and Government,Verify current cycle dates; most recent confirmed cycle was 2024,US-based Penn residential program (distinct from Oxford UK posting),2026-07-01
nsf-grfp,National Science Foundation,Graduate Research Fellowship Program (GRFP),https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program,"Aug, 2026","Oct-Nov, 2026","$37,000/year stipend + $16,000 cost-of-education allowance; 3 of 5 years",Portable; use at any accredited US institution; prestige,"US citizens, nationals, or permanent residents; STEM including STEM education",STEM and Engineering,STEM and STEM education fields only,One of the most prestigious and portable US graduate fellowships,2026-07-01
aauw-american-dissertation,AAUW,American Dissertation Fellowship,https://www.aauw.org/resources/programs/american-dissertation-fellowship-program/,"Aug 1, 2026","Sep 30, 2026","$25,000 for 12-month final-year dissertation writing","Flexible use: tuition, living, childcare, research",Must identify as a woman; US citizen or permanent resident; enrolled at accredited institution; first doctoral degree only; final dissertation year,Dissertation Completion,Women only; final dissertation year only; first doctoral degree only,Oldest non-institutional graduate funding source for women in the US,2026-07-01
mellon-acls-dissertation,American Council of Learned Societies (ACLS),Mellon/ACLS Dissertation Innovation Fellowship,https://www.acls.org/competitions/mellon-acls-dissertation-innovation-fellowship/,~Aug,"Oct 28, 2026","$42,000 stipend + up to $8,000 research + $2,000 mentor",Mentorship; humanities and interpretive social sciences network,"US-eligible; CRITICAL EXCLUSIONS: EdD, education, public policy, public administration, law, STEM, social work, business not eligible; humanities and interpretive social sciences only",Humanities,"EXCLUDES EdD, education, public policy, public admin, law, STEM, social work, business. Humanities and interpretive social sciences ONLY.",Read exclusion list carefully before applying,2026-07-01
